timestamp,X,Y,Z
1764071494750,-0.037871,0.090113,9.785301
1764071494760,-0.071551,0.094454,9.869127
1764071494770,-0.044757,0.10119,9.818383
1764071494780,-0.036374,0.106279,9.861942
1764071494790,-0.063019,0.084574,9.858799
1764071494800,-0.050894,0.098944,9.825568
1764071494810,-0.033979,0.086071,9.851763
1764071494820,-0.049846,0.080982,9.806108
1764071494830,-0.053289,0.085023,9.866283
1764071494840,-0.030686,0.095501,9.800869
1764071494850,-0.028141,0.111967,9.889934
1764071494860,-0.060025,0.115859,9.806108
1764071494870,-0.052541,0.105381,9.880204
1764071494880,-0.029788,0.114362,9.822125
1764071494891,-0.042811,0.096998,9.844877
1764071494901,-0.063169,0.084424,9.838591
1764071494911,-0.046853,0.057331,9.79099
1764071494921,-0.046104,0.068408,9.8582
1764071494931,-0.046703,0.084125,9.805659
1764071494941,-0.059426,0.111368,9.871372
1764071494951,-0.043709,0.121248,9.811497
1764071494961,-0.033381,0.126038,9.850715
1764071494971,-0.046254,0.11541,9.839938
1764071494981,-0.054337,0.095801,9.833052
1764071494991,-0.037572,0.074246,9.848171
1764071495001,-0.044008,0.077239,9.803713
1764071495011,-0.053289,0.093555,9.851913
1764071495021,-0.040416,0.11541,9.816586
1764071495032,-0.053738,0.122595,9.85326
1764071495042,-0.046254,0.103585,9.814042
1764071495052,-0.049846,0.083826,9.845925
1764071495062,-0.042661,0.080533,9.81464
1764071495072,-0.04326,0.072599,9.828412
1764071495082,-0.032183,0.073497,9.825867
1764071495092,-0.069306,0.098495,9.833801
1764071495102,-0.037123,0.084275,9.836794
1764071495112,-0.0479,0.091759,9.8341
1764071495122,-0.050146,0.101938,9.825867
1764071495132,-0.043859,0.148192,9.83904
1764071495142,-0.04326,0.10583,9.852811
1764071495152,-0.046553,0.076341,9.819131
1764071495162,-0.039967,0.075892,9.842482
1764071495173,-0.064666,0.099992,9.841285
1764071495183,-0.058678,0.107327,9.832004
1764071495193,-0.061672,0.110021,9.857601
1764071495203,-0.050445,0.082778,9.811048
1764071495213,-0.053289,0.075742,9.852362
1764071495223,-0.060474,0.116608,9.819131
1764071495233,-0.073048,0.09625,9.839788
1764071495243,-0.035027,0.055385,9.822274
1764071495253,-0.070054,0.119452,9.868977
1764071495263,-0.065264,0.097148,9.842333
1764071495273,-0.051643,0.089664,9.848919
1764071495283,-0.051194,0.088466,9.812096
1764071495293,-0.04341,0.114212,9.861942
1764071495303,-0.049996,0.139809,9.855954
1764071495314,-0.034279,0.092059,9.823622
1764071495324,-0.051194,0.076341,9.820179
1764071495334,-0.056732,0.078437,9.82916
1764071495344,-0.042661,0.113913,9.84862
1764071495354,-0.03832,0.077688,9.849518
1764071495364,-0.049397,0.090412,9.827364
1764071495374,-0.05763,0.098495,9.832304
1764071495384,-0.056582,0.116757,9.835746
1764071495394,-0.048799,0.088466,9.834549
1764071495404,-0.044907,0.103585,9.82901
1764071495414,-0.026345,0.075892,9.83889
1764071495424,-0.042512,0.082179,9.811946
1764071495434,-0.050894,0.082628,9.829909
1764071495445,-0.0482,0.092957,9.84368
1764071495455,-0.042811,0.098645,9.844578
1764071495465,-0.045505,0.107177,9.849069
1764071495475,-0.031285,0.103285,9.8341
1764071495485,-0.042212,0.10598,9.854757
1764071495495,-0.061672,0.10104,9.811497
1764071495505,-0.058678,0.071851,9.848769
1764071495515,-0.048799,0.060175,9.800719
1764071495525,-0.048499,0.076042,9.8341
1764071495535,-0.046853,0.101339,9.827963
1764071495545,-0.038021,0.100441,9.847272
1764071495555,-0.041164,0.107626,9.850266
1764071495565,-0.033979,0.088316,9.820029
1764071495575,-0.034428,0.087568,9.857751
1764071495586,-0.037871,0.095501,9.81464
1764071495596,-0.039218,0.099842,9.855954
1764071495606,-0.054786,0.119302,9.806258
1764071495616,-0.045056,0.132624,9.864337
1764071495626,-0.029189,0.124541,9.831106
1764071495636,-0.04341,0.073797,9.823472
1764071495646,-0.044458,0.071851,9.833651
1764071495656,-0.078138,0.080533,9.808503
1764071495666,-0.053589,0.099693,9.867031
1764071495676,-0.046853,0.070653,9.817484
1764071495686,-0.050595,0.05299,9.820778
1764071495696,-0.038021,0.088316,9.857751
1764071495706,-0.056882,0.09131,9.808653
1764071495716,-0.041613,0.10089,9.880354
1764071495727,-0.044757,0.109872,9.810748
1764071495737,-0.058678,0.121547,9.866133
1764071495747,-0.044458,0.121996,9.818832
1764071495757,-0.03368,0.104183,9.865834
1764071495767,-0.043559,0.107027,9.815389
1764071495777,-0.039368,0.116009,9.861194
1764071495787,-0.052541,0.110021,9.836794
1764071495797,-0.037123,0.103285,9.851763
1764071495807,-0.055235,0.094903,9.827663
1764071495817,-0.042661,0.097298,9.840536
1764071495827,-0.049996,0.086969,9.833651
1764071495837,-0.058079,0.078736,9.830208
1764071495847,-0.0482,0.077389,9.811497
1764071495857,-0.054187,0.068408,9.854607
1764071495868,-0.04341,0.054636,9.803563
1764071495878,-0.041015,0.062121,9.833501
1764071495888,-0.046853,0.078287,9.820329
1764071495898,-0.049098,0.094154,9.868379
1764071495908,-0.056882,0.102088,9.826166
1764071495918,-0.044607,0.111518,9.859697
1764071495928,-0.024549,0.104782,9.822724
1764071495938,-0.044757,0.120799,9.852362
1764071495948,-0.039368,0.094454,9.832453
1764071495958,-0.049397,0.087718,9.831405
1764071495968,-0.039967,0.07709,9.830058
1764071495978,-0.04805,0.067659,9.836196
1764071495988,-0.058229,0.088017,9.830657
1764071495998,-0.046703,0.095202,9.828711
1764071496009,-0.059277,0.121996,9.873169
1764071496019,-0.050744,0.131876,9.826615
1764071496029,-0.052541,0.117955,9.864337
1764071496039,-0.062869,0.108824,9.838141
1764071496049,-0.061073,0.100441,9.842782
1764071496059,-0.05778,0.064815,9.819879
1764071496069,-0.041913,0.037272,9.803713
1764071496079,-0.039668,0.048499,9.841884
1764071496089,-0.046553,0.077539,9.837842
1764071496099,-0.066911,0.104632,9.840836
1764071496109,-0.047002,0.107776,9.851613
1764071496119,-0.038021,0.109722,9.85326
1764071496129,-0.050146,0.112267,9.839489
1764071496139,-0.049547,0.111668,9.825568
1764071496150,-0.044757,0.068408,9.851913
1764071496160,-0.035925,0.082329,9.812096
1764071496170,-0.050744,0.084424,9.841435
1764071496180,-0.035177,0.099543,9.831555
1764071496190,-0.041913,0.117506,9.84832
1764071496200,-0.052391,0.111817,9.848021
1764071496210,-0.029489,0.102986,9.841135
1764071496220,-0.054636,0.093555,9.845776
1764071496230,-0.068258,0.099244,9.820478
1764071496240,-0.062121,0.064516,9.842033
1764071496250,-0.050295,0.066611,9.807156
1764071496260,-0.054038,0.092059,9.828412
1764071496270,-0.044158,0.106279,9.817484
1764071496280,-0.047601,0.101788,9.848769
1764071496291,-0.047302,0.099094,9.830058
1764071496301,-0.0479,0.136366,9.878258
1764071496311,-0.047601,0.149389,9.826765
1764071496321,-0.047601,0.099992,9.851763
1764071496331,-0.054636,0.087119,9.830807
1764071496341,-0.045356,0.082179,9.801019
1764071496351,-0.051343,0.10598,9.903855
1764071496361,-0.056582,0.12993,9.765542
1764071496371,-0.045356,0.104034,9.930649
1764071496381,-0.041015,0.089364,9.769883
1764071496391,-0.052391,0.108824,9.848171
1764071496401,-0.044607,0.111069,9.898167
1764071496411,-0.046553,0.098196,9.778266
1764071496422,-0.054038,0.08637,9.888886
1764071496432,-0.047601,0.071102,9.792636
1764071496442,-0.036973,0.076042,9.846674
1764071496452,-0.073198,0.102387,9.820329
1764071496462,-0.053439,0.096699,9.832004
1764071496472,-0.037272,0.063019,9.817185
1764071496482,-0.049697,0.035027,9.794582
1764071496492,-0.049248,0.079485,9.851164
1764071496502,-0.045805,0.095651,9.816736
1764071496512,-0.055085,0.079036,9.859397
1764071496522,-0.042512,0.085921,9.804611
1764071496532,-0.03353,0.1202,9.849817
1764071496542,-0.048499,0.10598,9.847272
1764071496552,-0.031435,0.071551,9.824071
1764071496563,-0.031285,0.050894,9.834549
1764071496573,-0.050595,0.090262,9.806108
1764071496583,-0.053738,0.130828,9.864786
1764071496593,-0.048948,0.104333,9.83425
1764071496603,-0.057031,0.084874,9.855206
1764071496613,-0.026345,0.090861,9.815688
1764071496623,-0.054487,0.098046,9.858649
1764071496633,-0.058828,0.070054,9.807306
1764071496643,-0.0479,0.071551,9.840686
1764071496653,-0.049547,0.062121,9.792935
1764071496663,-0.029638,0.094603,9.879156
1764071496673,-0.048649,0.083975,9.826316
1764071496683,-0.056882,0.098795,9.839638
1764071496693,-0.037572,0.105081,9.84353
1764071496704,-0.057031,0.078736,9.839788
1764071496714,-0.061372,0.107776,9.849069
1764071496724,-0.041314,0.105081,9.836794
1764071496734,-0.060624,0.082478,9.849069
1764071496744,-0.050146,0.075742,9.805809
1764071496754,-0.047302,0.107776,9.845776
1764071496764,-0.045056,0.089963,9.837992
1764071496774,-0.040117,0.089664,9.812994
1764071496784,-0.047451,0.088616,9.836495
1764071496794,-0.054337,0.128583,9.814191
1764071496804,-0.058678,0.11541,9.861792
1764071496814,-0.046404,0.106279,9.822274
1764071496824,-0.026944,0.100741,9.845327
